committee_name,donor_name,amount,date,candidate_name,race_name
Arizona Families First,Desert Orchard LLC,47174.38,2023-05-10,Emma Garcia,State Treasurer
Protect Arizona Values PAC,Pioneer Energy Group,96326.03,2021-08-08,Ella Brown,State Treasurer
Arizona Families First,Saguaro Capital,97590.53,2024-12-07,Ava Rodriguez,Pima County Board District 3
Valley Voters Alliance,Desert Orchard LLC,22918.28,2024-08-13,Abigail Hall,US House District 2
Vote Integrity Fund,Red Rock Philanthropy,134514.79,2021-07-27,Sophia Martinez,State House District 20
Arizona Workers Alliance,Sunrise Ventures LLC,52892.46,2024-10-24,Daniel Jackson,Pima County Board District 3
Valley Voters Alliance,Frontier Manufacturing Co.,96781.93,2022-10-13,Mason Anderson,US House District 1
Arizona Future Coalition,Blue Sky Developers,42916.89,2020-04-19,Daniel Rodriguez,Pima County Board District 3
Clean Government Project,Southwest AgriFund,77782.93,2025-09-18,Lucas Miller,Phoenix City Council District 4
Sunrise Civic Action Fund,Desert Orchard LLC,8421.73,2022-09-07,Lucas Lewis,State House District 7
Keep AZ Moving Committee,Pioneer Energy Group,95802.83,2020-10-17,Mason Martin,US Senate
Arizona Future Coalition,Horizon Media Group,20014.44,2024-09-19,Logan Thomas,Governor
Valley Voters Alliance,Saguaro Capital,143179.33,2020-10-25,Elijah Martin,Phoenix City Council District 4
Citizens for Fair Elections,Blue Sky Developers,32557.51,2020-09-04,Ava Anderson,US Senate
Arizona Workers Alliance,Pioneer Energy Group,106966.2,2024-08-28,Lucas Lewis,Maricopa County Supervisor District 2
Desert Shores Coalition,Desert Orchard LLC,80600.58,2021-09-17,Noah Lewis,State House District 7
Grand Canyon Progress PAC,Sunrise Ventures LLC,138158.5,2021-09-28,Noah Thompson,State Senate District 5
Arizona Future Coalition,Mesa Community Trust,114542.81,2020-09-27,Evelyn Lewis,State House District 7
Grand Canyon Progress PAC,Desert Orchard LLC,8921.42,2020-12-19,Daniel Wilson,State House District 7
Bold Arizona Voices,Pioneer Energy Group,91422.65,2023-06-20,Charlotte Rodriguez,US Senate
Neighbors for Better Government,Desert Orchard LLC,18136.59,2021-07-16,Daniel Davis,Phoenix City Council District 4
Desert Sunrise Action,Copper Ridge Holdings,78570.05,2022-11-27,James Moore,US House District 1
Protect Arizona Values PAC,Mesa Community Trust,110007.14,2021-04-28,Daniel Anderson,US House District 1
Arizona Workers Alliance,Horizon Media Group,40979.09,2020-09-18,Mia White,Governor
Grand Canyon Progress PAC,Desert Orchard LLC,74548.1,2025-09-23,Abigail Martinez,Pima County Board District 3
Valley Voters Alliance,Copper Ridge Holdings,55311.24,2022-11-10,Evelyn Davis,State House District 20
Arizona Workers Alliance,Sunrise Ventures LLC,108486.06,2022-07-24,Evelyn Lee,Attorney General
Desert Sunrise Action,Saguaro Capital,36871.58,2025-04-16,Liam Smith,Governor
Valley Voters Alliance,Pioneer Energy Group,139691.22,2020-05-24,Olivia Davis,Attorney General
Arizona Future Coalition,Frontier Manufacturing Co.,98441.57,2022-07-08,Emily Hall,Attorney General
Valley Voters Alliance,Desert Tech Partners,40870.88,2020-11-15,Daniel Thomas,State House District 7
Vote Integrity Fund,Mesa Community Trust,135315.67,2022-01-04,Harper Lee,US Senate
Sunrise Civic Action Fund,Frontier Manufacturing Co.,10571.73,2025-03-20,Liam Jackson,Maricopa County Supervisor District 2
Clean Government Project,Canyon Ridge Investments,13186.23,2025-02-13,Lucas Thomas,State Treasurer
Citizens for Fair Elections,Mesa Community Trust,117729.96,2022-09-20,Lucas Clark,US House District 2
Keep AZ Moving Committee,Mesa Community Trust,109936.38,2022-10-01,James Miller,Pima County Board District 3
Protect Arizona Values PAC,Copper Ridge Holdings,35141.41,2023-11-19,Ethan Smith,Attorney General
Neighbors for Better Government,Southwest AgriFund,468.94,2024-03-21,Ava Thomas,Tucson City Council District 1
Clean Government Project,Desert Orchard LLC,30977.86,2022-09-02,Lucas Garcia,Tucson City Council District 1
Desert Shores Coalition,Gila River Foundation,42153.83,2020-06-28,Olivia Walker,Governor
Bold Arizona Voices,Desert Tech Partners,105201.82,2024-03-05,Harper White,Attorney General
Keep AZ Moving Committee,Desert Orchard LLC,75937.81,2024-06-03,Evelyn Garcia,US Senate
Arizona Families First,Blue Sky Developers,99450.98,2021-06-19,Liam White,Pima County Board District 3
Sunrise Civic Action Fund,Canyon Ridge Investments,105183.66,2023-08-29,Mia Jackson,State Senate District 5
Valley Voters Alliance,Gila River Foundation,141547.31,2021-07-11,Mason Martinez,State Senate District 5
Arizona Workers Alliance,Frontier Manufacturing Co.,16072.25,2025-01-15,Emma Brown,Pima County Board District 3
Keep AZ Moving Committee,Mesa Community Trust,53903.55,2022-04-30,Emma Robinson,State House District 7
Keep AZ Moving Committee,Canyon Ridge Investments,13790.53,2023-05-31,Isabella Garcia,State House District 20
Clean Government Project,Desert Orchard LLC,32449.36,2023-09-04,Jacob Johnson,Tucson City Council District 1
Protect Arizona Values PAC,Sunrise Ventures LLC,59587.61,2020-07-19,Mason Moore,Tucson City Council District 1
Neighbors for Better Government,Canyon Ridge Investments,142826.47,2025-01-26,Elijah Smith,State Senate District 5
Arizona Future Coalition,Desert Orchard LLC,69440.98,2021-07-26,Mason Garcia,Maricopa County Supervisor District 2
Arizona Families First,Copper Ridge Holdings,19824.61,2024-06-28,Ella Wilson,Governor
Valley Voters Alliance,Red Rock Philanthropy,87452.99,2022-11-26,Abigail Martinez,Phoenix City Council District 4
Bold Arizona Voices,Southwest AgriFund,29863.11,2024-12-21,Ava Martinez,US Senate
Arizona Workers Alliance,Valley Healthcare Group,6643.77,2025-03-03,Mia Garcia,US Senate
Citizens for Fair Elections,Valley Healthcare Group,123297.39,2024-06-05,Evelyn White,Attorney General
Keep AZ Moving Committee,Copper Ridge Holdings,26127.88,2022-05-29,Michael White,State House District 7
Bold Arizona Voices,Valley Healthcare Group,132542.71,2020-05-21,Isabella Harris,State Senate District 5
Vote Integrity Fund,Blue Sky Developers,44442.0,2024-08-14,Mason Lewis,Pima County Board District 3
Bold Arizona Voices,Saguaro Capital,42146.45,2021-07-16,Liam Martinez,State House District 20
Desert Shores Coalition,Desert Tech Partners,94705.47,2020-03-20,Harper Wilson,Phoenix City Council District 4
Desert Shores Coalition,Frontier Manufacturing Co.,81791.54,2025-06-08,Logan Martin,Tucson City Council District 1
Valley Voters Alliance,Horizon Media Group,58410.1,2022-01-06,Harper Thomas,Pima County Board District 3
Citizens for Fair Elections,Mesa Community Trust,134390.78,2023-02-24,Mason Smith,Pima County Board District 3
Citizens for Fair Elections,Frontier Manufacturing Co.,115084.61,2022-08-11,Harper Moore,State House District 20
Protect Arizona Values PAC,Sunrise Ventures LLC,40162.42,2020-08-17,Michael Wilson,US House District 2
Arizona Workers Alliance,Desert Tech Partners,140297.1,2021-12-12,Amelia Moore,Pima County Board District 3
Protect Arizona Values PAC,Desert Tech Partners,104719.58,2020-04-25,Mia Hall,Pima County Board District 3
Desert Sunrise Action,Desert Orchard LLC,21529.82,2022-02-10,Evelyn Clark,State Senate District 12
Clean Government Project,Frontier Manufacturing Co.,46530.7,2025-07-01,James Robinson,Attorney General
Citizens for Fair Elections,Sunrise Ventures LLC,33016.64,2025-11-26,Mason Rodriguez,Governor
Keep AZ Moving Committee,Copper Ridge Holdings,121015.2,2023-10-27,Jacob Miller,State Senate District 12
Desert Sunrise Action,Valley Healthcare Group,3531.46,2021-08-03,Mia Johnson,Attorney General
Arizona Workers Alliance,Sunrise Ventures LLC,144093.67,2024-03-10,Harper Moore,Secretary of State
Desert Sunrise Action,Red Rock Philanthropy,50650.02,2023-08-14,Evelyn Garcia,State House District 7
Protect Arizona Values PAC,Valley Healthcare Group,144109.15,2023-07-23,Ethan Lewis,Tucson City Council District 1
Protect Arizona Values PAC,Desert Orchard LLC,118102.02,2022-07-03,Emily Rodriguez,Maricopa County Supervisor District 2
Neighbors for Better Government,Blue Sky Developers,46196.78,2023-04-21,Elijah Jackson,Secretary of State
Protect Arizona Values PAC,Valley Healthcare Group,142317.55,2024-05-22,Ava Walker,Tucson City Council District 1
Clean Government Project,Frontier Manufacturing Co.,90457.7,2022-06-23,Liam Davis,Pima County Board District 3
Neighbors for Better Government,Blue Sky Developers,49842.47,2020-11-14,James Brown,US Senate
Sunrise Civic Action Fund,Mesa Community Trust,132826.71,2020-12-29,Elijah Lewis,State Senate District 12
Clean Government Project,Desert Orchard LLC,133026.36,2025-01-03,Abigail Hall,Phoenix City Council District 4
Citizens for Fair Elections,Canyon Ridge Investments,10402.27,2022-11-17,Mason Walker,US House District 2
Arizona Workers Alliance,Sunrise Ventures LLC,58044.08,2024-09-14,Ava Johnson,Tucson City Council District 1
Protect Arizona Values PAC,Horizon Media Group,52846.87,2024-03-17,James Jackson,State House District 7
Arizona Families First,Southwest AgriFund,113796.97,2022-07-12,Evelyn Lewis,State House District 20
Protect Arizona Values PAC,Gila River Foundation,3256.68,2022-12-05,Liam Taylor,US Senate
Arizona Families First,Sunrise Ventures LLC,24345.45,2020-11-03,Elijah Jackson,State Senate District 12
Arizona Future Coalition,Horizon Media Group,147795.1,2025-05-31,Mia Rodriguez,US Senate
Desert Sunrise Action,Copper Ridge Holdings,91195.81,2024-11-13,Abigail Davis,State House District 7
Protect Arizona Values PAC,Copper Ridge Holdings,146166.16,2024-08-03,Mia Miller,US Senate
Desert Sunrise Action,Saguaro Capital,39973.4,2023-02-27,Daniel Robinson,Tucson City Council District 1
Grand Canyon Progress PAC,Desert Tech Partners,85872.53,2025-07-03,Liam Jackson,US Senate
Protect Arizona Values PAC,Copper Ridge Holdings,13372.35,2025-05-21,Ava White,State Senate District 12
Sunrise Civic Action Fund,Sunrise Ventures LLC,95819.05,2020-12-01,Sophia Davis,Governor
Keep AZ Moving Committee,Southwest AgriFund,70773.93,2022-12-21,Lucas Jackson,US Senate
Arizona Families First,Red Rock Philanthropy,55810.32,2024-04-11,Amelia Davis,Maricopa County Supervisor District 2
Valley Voters Alliance,Valley Healthcare Group,66101.13,2022-12-14,Liam Anderson,State House District 20
Sunrise Civic Action Fund,Southwest AgriFund,22881.82,2021-01-31,Evelyn Johnson,State Senate District 5
Arizona Families First,Red Rock Philanthropy,145613.15,2022-07-20,Benjamin White,State Senate District 12
Arizona Future Coalition,Copper Ridge Holdings,62940.15,2025-04-28,Amelia Thompson,Secretary of State
Vote Integrity Fund,Horizon Media Group,12073.52,2020-05-22,James Taylor,US House District 2
Arizona Future Coalition,Blue Sky Developers,101710.85,2021-08-26,Harper Clark,Attorney General
Arizona Families First,Frontier Manufacturing Co.,145831.69,2022-02-28,Elijah Davis,State House District 20
Protect Arizona Values PAC,Copper Ridge Holdings,65450.14,2021-08-28,Noah Lee,State House District 7
Clean Government Project,Blue Sky Developers,137147.55,2020-10-01,Mia Hall,State Senate District 5
Arizona Families First,Pioneer Energy Group,49087.49,2023-02-05,Amelia Robinson,Maricopa County Supervisor District 2
Arizona Future Coalition,Gila River Foundation,93552.92,2025-11-10,Ava Walker,Attorney General
Arizona Workers Alliance,Pioneer Energy Group,22442.91,2021-02-14,Ethan Brown,US Senate
Bold Arizona Voices,Sunrise Ventures LLC,117915.41,2023-11-09,Ella Garcia,Pima County Board District 3
Bold Arizona Voices,Pioneer Energy Group,72966.32,2025-04-21,Amelia Lewis,State Senate District 5
Citizens for Fair Elections,Valley Healthcare Group,92832.11,2024-07-03,Amelia Brown,State Senate District 5
Citizens for Fair Elections,Pioneer Energy Group,35827.5,2025-04-30,Mia Walker,Attorney General
Bold Arizona Voices,Canyon Ridge Investments,50845.45,2023-05-26,Logan Smith,Attorney General
Grand Canyon Progress PAC,Canyon Ridge Investments,102806.59,2022-07-22,James Walker,Secretary of State
Protect Arizona Values PAC,Canyon Ridge Investments,40595.64,2024-09-03,Charlotte Thomas,Tucson City Council District 1
Vote Integrity Fund,Red Rock Philanthropy,31905.73,2024-07-25,Sophia Harris,US Senate
Desert Sunrise Action,Gila River Foundation,123197.35,2025-10-11,Harper Moore,State Treasurer
Arizona Workers Alliance,Valley Healthcare Group,76142.59,2021-07-09,Lucas Walker,US Senate
Arizona Workers Alliance,Southwest AgriFund,26267.17,2022-04-02,Evelyn Smith,Maricopa County Supervisor District 2
Clean Government Project,Copper Ridge Holdings,7821.25,2024-01-16,Liam Harris,US House District 2
Desert Sunrise Action,Desert Tech Partners,75892.67,2021-05-22,Logan Harris,State Senate District 5
Neighbors for Better Government,Copper Ridge Holdings,89208.03,2021-12-28,Logan Martin,US House District 2
Clean Government Project,Gila River Foundation,51801.29,2022-11-25,Benjamin Moore,Pima County Board District 3
Desert Sunrise Action,Southwest AgriFund,4360.71,2020-07-22,Noah Taylor,Tucson City Council District 1
Protect Arizona Values PAC,Southwest AgriFund,128602.4,2022-07-11,Ella Miller,Pima County Board District 3
Neighbors for Better Government,Desert Tech Partners,77113.86,2020-02-06,Abigail White,State Senate District 5
Keep AZ Moving Committee,Horizon Media Group,90271.01,2020-02-04,Abigail Davis,US House District 1
Sunrise Civic Action Fund,Canyon Ridge Investments,145061.91,2023-02-01,Lucas Walker,Pima County Board District 3
Desert Shores Coalition,Horizon Media Group,37986.81,2025-03-26,Logan Harris,State House District 7
Grand Canyon Progress PAC,Red Rock Philanthropy,87776.95,2020-01-31,Jacob Jackson,Maricopa County Supervisor District 2
Arizona Future Coalition,Red Rock Philanthropy,97189.48,2023-03-03,Logan Robinson,Secretary of State
Grand Canyon Progress PAC,Red Rock Philanthropy,50608.48,2023-02-06,James Martinez,US Senate
Neighbors for Better Government,Mesa Community Trust,98503.91,2023-05-08,Isabella Anderson,Secretary of State
Sunrise Civic Action Fund,Valley Healthcare Group,134978.13,2024-07-13,Ella Wilson,Maricopa County Supervisor District 2
Neighbors for Better Government,Mesa Community Trust,4061.93,2025-07-30,Olivia Hall,Phoenix City Council District 4
Grand Canyon Progress PAC,Canyon Ridge Investments,58394.17,2020-05-24,Ethan Jackson,Attorney General
Vote Integrity Fund,Desert Orchard LLC,109050.84,2022-06-29,Sophia Thomas,Pima County Board District 3
Neighbors for Better Government,Saguaro Capital,53934.95,2023-05-14,James Lee,Phoenix City Council District 4
Clean Government Project,Valley Healthcare Group,27375.09,2021-02-03,Michael Robinson,Secretary of State
Keep AZ Moving Committee,Valley Healthcare Group,121299.49,2022-01-19,Isabella Hall,Tucson City Council District 1
Neighbors for Better Government,Horizon Media Group,33532.46,2022-07-03,Abigail Martinez,State Senate District 12
Desert Sunrise Action,Southwest AgriFund,55909.44,2023-04-19,Ethan Thomas,State Senate District 5
Keep AZ Moving Committee,Southwest AgriFund,129992.41,2020-10-18,James Johnson,US Senate
Keep AZ Moving Committee,Horizon Media Group,130157.79,2024-04-12,Harper Garcia,US House District 2
Arizona Future Coalition,Canyon Ridge Investments,20820.45,2022-03-31,Liam Brown,State House District 7
Valley Voters Alliance,Pioneer Energy Group,47628.42,2022-01-08,Charlotte Brown,Pima County Board District 3
Arizona Workers Alliance,Sunrise Ventures LLC,147999.4,2023-07-07,Mia Lewis,State House District 20
Neighbors for Better Government,Copper Ridge Holdings,31605.01,2021-11-21,Charlotte Anderson,Governor
Vote Integrity Fund,Frontier Manufacturing Co.,19628.54,2024-11-11,James Martinez,US House District 1
Neighbors for Better Government,Pioneer Energy Group,57651.63,2020-06-03,Ethan Martin,State House District 7
Arizona Future Coalition,Desert Tech Partners,133827.96,2025-12-15,Logan Smith,Tucson City Council District 1
Sunrise Civic Action Fund,Copper Ridge Holdings,110107.09,2022-07-15,Ava Lewis,Phoenix City Council District 4
Desert Sunrise Action,Horizon Media Group,15630.56,2025-08-23,Lucas Brown,State Senate District 12
Vote Integrity Fund,Canyon Ridge Investments,44905.79,2023-04-06,Noah Johnson,US House District 1
Keep AZ Moving Committee,Desert Orchard LLC,50840.81,2021-07-02,Jacob Thompson,Maricopa County Supervisor District 2
Valley Voters Alliance,Horizon Media Group,24941.31,2024-07-10,Logan Miller,State House District 20
Citizens for Fair Elections,Desert Tech Partners,31875.74,2020-03-30,Daniel Brown,US House District 2
Vote Integrity Fund,Saguaro Capital,106738.74,2020-06-02,Emma Moore,US House District 1
Desert Shores Coalition,Horizon Media Group,93564.43,2020-07-15,Isabella Robinson,Phoenix City Council District 4
Neighbors for Better Government,Sunrise Ventures LLC,103540.02,2024-09-03,Ava Johnson,Phoenix City Council District 4
Keep AZ Moving Committee,Pioneer Energy Group,71290.85,2021-09-19,Benjamin Anderson,US Senate
Sunrise Civic Action Fund,Desert Orchard LLC,45342.19,2021-02-17,Abigail Smith,Phoenix City Council District 4
Neighbors for Better Government,Saguaro Capital,105183.77,2024-09-11,Jacob Rodriguez,State Senate District 5
Clean Government Project,Horizon Media Group,92750.27,2023-03-03,Harper Hall,US Senate
Arizona Families First,Frontier Manufacturing Co.,91448.02,2022-12-13,James Miller,US Senate
Clean Government Project,Saguaro Capital,61611.0,2021-10-18,Logan Walker,US House District 2
Citizens for Fair Elections,Saguaro Capital,139985.37,2023-09-16,Sophia Walker,State House District 20
Sunrise Civic Action Fund,Copper Ridge Holdings,136055.29,2025-07-16,Michael Martinez,Governor
Protect Arizona Values PAC,Sunrise Ventures LLC,108603.65,2021-02-18,Harper Martinez,State Treasurer
Bold Arizona Voices,Canyon Ridge Investments,148302.72,2023-04-27,Mason Harris,Phoenix City Council District 4
Grand Canyon Progress PAC,Gila River Foundation,131152.53,2023-04-05,Emma Davis,Governor
Valley Voters Alliance,Frontier Manufacturing Co.,110846.39,2021-01-24,Mia White,Phoenix City Council District 4
Clean Government Project,Frontier Manufacturing Co.,127836.81,2021-11-29,Liam Smith,Attorney General
Valley Voters Alliance,Mesa Community Trust,40429.33,2021-01-15,Charlotte Rodriguez,Attorney General
Valley Voters Alliance,Southwest AgriFund,60266.43,2025-02-12,Elijah Garcia,State Senate District 12
Grand Canyon Progress PAC,Southwest AgriFund,120034.89,2021-11-14,Emily Martin,State House District 7
Arizona Families First,Valley Healthcare Group,147239.98,2021-10-14,Daniel Johnson,Tucson City Council District 1
Arizona Families First,Pioneer Energy Group,120389.15,2024-11-29,Evelyn Martin,Attorney General
Protect Arizona Values PAC,Blue Sky Developers,91800.92,2021-06-19,Ella Moore,State House District 7
Keep AZ Moving Committee,Horizon Media Group,66243.01,2020-09-16,Emma White,State House District 20
Grand Canyon Progress PAC,Red Rock Philanthropy,130282.76,2025-11-19,Ava Walker,State Senate District 12
Arizona Workers Alliance,Desert Orchard LLC,33791.74,2023-10-17,Daniel Clark,Pima County Board District 3
Arizona Future Coalition,Saguaro Capital,14512.51,2022-10-15,Emily Rodriguez,Tucson City Council District 1
Keep AZ Moving Committee,Mesa Community Trust,57885.27,2020-08-11,Michael Lewis,Phoenix City Council District 4
Citizens for Fair Elections,Red Rock Philanthropy,127364.62,2025-07-23,Elijah Thompson,Attorney General
Clean Government Project,Valley Healthcare Group,48264.91,2023-09-17,Ella Martin,US Senate
Grand Canyon Progress PAC,Copper Ridge Holdings,96586.77,2024-07-09,Mason Robinson,Maricopa County Supervisor District 2
Clean Government Project,Desert Tech Partners,120238.88,2025-01-09,Charlotte Harris,US Senate
Arizona Families First,Southwest AgriFund,18026.35,2025-07-30,Charlotte Thomas,State House District 20
Desert Sunrise Action,Red Rock Philanthropy,61997.7,2020-01-01,Emma Jackson,Governor
Clean Government Project,Sunrise Ventures LLC,95721.33,2025-09-13,Jacob Rodriguez,State Treasurer
Arizona Future Coalition,Desert Tech Partners,142565.68,2024-01-28,Michael Harris,Phoenix City Council District 4
Clean Government Project,Copper Ridge Holdings,49962.9,2025-04-21,Mason Harris,Secretary of State
Desert Sunrise Action,Red Rock Philanthropy,17325.0,2022-06-27,Emily Harris,State Senate District 12
Citizens for Fair Elections,Mesa Community Trust,82266.66,2024-03-11,Abigail Taylor,State Senate District 12
Desert Sunrise Action,Sunrise Ventures LLC,21282.27,2024-08-03,Elijah Martin,Governor
Arizona Families First,Canyon Ridge Investments,18331.68,2024-05-28,Sophia Miller,Pima County Board District 3
Sunrise Civic Action Fund,Gila River Foundation,50855.55,2024-08-24,Sophia Walker,Secretary of State
Citizens for Fair Elections,Horizon Media Group,18702.07,2025-01-19,Michael Clark,Phoenix City Council District 4
Keep AZ Moving Committee,Red Rock Philanthropy,144587.25,2020-01-18,Harper Brown,Pima County Board District 3
Arizona Future Coalition,Desert Orchard LLC,125862.71,2025-06-01,Benjamin White,Governor
Bold Arizona Voices,Saguaro Capital,86888.52,2021-06-09,Elijah Walker,State Treasurer
Arizona Families First,Pioneer Energy Group,132433.71,2025-08-26,Jacob Rodriguez,Phoenix City Council District 4
Bold Arizona Voices,Pioneer Energy Group,114415.6,2023-01-25,Jacob Walker,State House District 7
Desert Shores Coalition,Mesa Community Trust,20942.46,2025-09-29,Charlotte Brown,State Senate District 5
Grand Canyon Progress PAC,Southwest AgriFund,106853.18,2022-06-09,Benjamin Thomas,Tucson City Council District 1
Sunrise Civic Action Fund,Desert Tech Partners,103070.04,2021-06-27,Emily Taylor,Pima County Board District 3
Desert Sunrise Action,Red Rock Philanthropy,104223.22,2023-08-13,Harper Robinson,US House District 1
Desert Sunrise Action,Sunrise Ventures LLC,72185.4,2024-09-05,Logan Robinson,State Treasurer
Neighbors for Better Government,Desert Orchard LLC,131652.22,2024-09-26,Benjamin Taylor,Attorney General
Arizona Workers Alliance,Copper Ridge Holdings,57285.33,2020-08-05,Emma Smith,Maricopa County Supervisor District 2
Neighbors for Better Government,Copper Ridge Holdings,147533.98,2022-10-23,Isabella Davis,US House District 2
Protect Arizona Values PAC,Southwest AgriFund,30799.14,2020-05-12,Emily Taylor,Governor
Valley Voters Alliance,Southwest AgriFund,130238.3,2022-07-07,Emma Rodriguez,State House District 20
Desert Sunrise Action,Red Rock Philanthropy,76760.61,2023-03-24,Amelia Wilson,Maricopa County Supervisor District 2
Desert Sunrise Action,Red Rock Philanthropy,62630.79,2023-07-04,Amelia Jackson,Governor
Arizona Future Coalition,Copper Ridge Holdings,30662.31,2024-12-19,Daniel Anderson,Governor
Clean Government Project,Desert Tech Partners,106504.43,2024-02-15,Abigail Walker,Attorney General
Arizona Workers Alliance,Blue Sky Developers,29671.24,2022-03-03,Daniel Rodriguez,Maricopa County Supervisor District 2
Grand Canyon Progress PAC,Gila River Foundation,28249.74,2021-12-12,Michael Martinez,US House District 1
Desert Sunrise Action,Saguaro Capital,64419.05,2022-12-18,Amelia Johnson,US Senate
Protect Arizona Values PAC,Valley Healthcare Group,49751.78,2021-09-26,Isabella Smith,Pima County Board District 3
Citizens for Fair Elections,Valley Healthcare Group,7865.6,2023-05-18,Mia Rodriguez,Attorney General
Keep AZ Moving Committee,Frontier Manufacturing Co.,11163.9,2023-07-25,Benjamin Moore,Pima County Board District 3
Arizona Future Coalition,Desert Tech Partners,117992.17,2021-10-14,Harper Martinez,US House District 1
Desert Shores Coalition,Saguaro Capital,52573.09,2022-05-23,Amelia Martinez,Maricopa County Supervisor District 2
Neighbors for Better Government,Mesa Community Trust,32962.18,2025-12-12,Logan Taylor,State Senate District 12
Keep AZ Moving Committee,Saguaro Capital,1568.35,2023-11-18,Ella Lewis,Secretary of State
Keep AZ Moving Committee,Desert Tech Partners,137811.44,2022-09-25,Abigail Rodriguez,Attorney General
Citizens for Fair Elections,Red Rock Philanthropy,137410.88,2021-04-09,Mia Jackson,Attorney General
Desert Shores Coalition,Canyon Ridge Investments,3949.68,2025-10-18,Daniel Taylor,Maricopa County Supervisor District 2
Clean Government Project,Frontier Manufacturing Co.,66972.15,2020-06-28,Harper Thompson,State Senate District 12
Grand Canyon Progress PAC,Horizon Media Group,77205.73,2021-01-28,Sophia Thomas,Phoenix City Council District 4
Protect Arizona Values PAC,Frontier Manufacturing Co.,94133.23,2022-05-13,Benjamin Smith,Maricopa County Supervisor District 2
Neighbors for Better Government,Red Rock Philanthropy,63775.37,2021-03-01,Sophia Lee,State Treasurer
Sunrise Civic Action Fund,Saguaro Capital,116337.21,2020-10-22,Emily Hall,Secretary of State
Desert Sunrise Action,Red Rock Philanthropy,107601.03,2020-06-04,Ava Harris,US House District 1
Arizona Families First,Sunrise Ventures LLC,83823.11,2022-07-21,Elijah Anderson,Governor
Bold Arizona Voices,Canyon Ridge Investments,94625.04,2024-11-08,Amelia Harris,State House District 7
Valley Voters Alliance,Copper Ridge Holdings,80341.45,2020-09-16,Michael Garcia,State House District 7
Arizona Workers Alliance,Desert Orchard LLC,127275.62,2024-01-05,Liam Walker,Pima County Board District 3
Bold Arizona Voices,Saguaro Capital,45377.27,2020-12-20,Lucas Lee,US Senate
Grand Canyon Progress PAC,Frontier Manufacturing Co.,59418.21,2020-05-06,Charlotte Jackson,Attorney General
Keep AZ Moving Committee,Valley Healthcare Group,112076.4,2023-04-23,Mason Brown,Maricopa County Supervisor District 2
Neighbors for Better Government,Valley Healthcare Group,97279.11,2020-02-15,Michael Hall,State Senate District 5
Arizona Future Coalition,Southwest AgriFund,6505.53,2024-06-02,Olivia Garcia,Maricopa County Supervisor District 2
Arizona Future Coalition,Saguaro Capital,112307.41,2023-11-09,Lucas Miller,US Senate
Sunrise Civic Action Fund,Pioneer Energy Group,21582.65,2022-01-23,Abigail Thompson,Attorney General
Sunrise Civic Action Fund,Blue Sky Developers,17414.73,2020-08-10,Isabella Miller,Secretary of State
Clean Government Project,Frontier Manufacturing Co.,96790.01,2020-10-26,Benjamin Harris,Attorney General
Grand Canyon Progress PAC,Red Rock Philanthropy,29813.28,2025-06-18,Isabella Garcia,US Senate
Valley Voters Alliance,Mesa Community Trust,35371.29,2023-03-13,Michael Lewis,US House District 1
Vote Integrity Fund,Sunrise Ventures LLC,73007.72,2023-09-06,Sophia Thomas,Attorney General
Vote Integrity Fund,Red Rock Philanthropy,23071.15,2024-02-01,Emily Clark,State Senate District 5
Arizona Workers Alliance,Mesa Community Trust,47153.91,2022-06-26,Elijah Smith,State House District 7
Desert Sunrise Action,Desert Orchard LLC,126056.48,2021-07-04,Ethan Anderson,Phoenix City Council District 4
Neighbors for Better Government,Desert Orchard LLC,66942.36,2023-06-05,James Harris,State Senate District 12
Keep AZ Moving Committee,Saguaro Capital,91092.49,2023-02-23,Elijah Lewis,US Senate
Clean Government Project,Southwest AgriFund,39669.39,2020-11-09,Benjamin Miller,US House District 1
Desert Sunrise Action,Sunrise Ventures LLC,94836.07,2024-07-17,Ava Thompson,Attorney General
Arizona Workers Alliance,Blue Sky Developers,39277.29,2025-04-17,Liam Robinson,US House District 2
Neighbors for Better Government,Frontier Manufacturing Co.,33690.17,2023-04-06,Logan Jackson,US House District 1
Protect Arizona Values PAC,Gila River Foundation,59668.58,2025-08-18,Harper Martinez,Maricopa County Supervisor District 2
Citizens for Fair Elections,Red Rock Philanthropy,25085.07,2025-10-06,Jacob Lee,US House District 2
Protect Arizona Values PAC,Gila River Foundation,142319.6,2021-08-21,Elijah Clark,US House District 1
Desert Sunrise Action,Desert Orchard LLC,33018.16,2025-06-20,Logan Johnson,State House District 20
Sunrise Civic Action Fund,Sunrise Ventures LLC,6660.56,2022-04-26,Logan Wilson,State Senate District 5
Arizona Future Coalition,Horizon Media Group,70583.72,2025-02-05,Logan Jackson,State Treasurer
Bold Arizona Voices,Copper Ridge Holdings,15707.95,2025-11-05,Abigail Thomas,Governor
Neighbors for Better Government,Southwest AgriFund,86900.06,2021-12-13,Daniel Anderson,State Senate District 5
Desert Shores Coalition,Red Rock Philanthropy,98087.15,2020-11-14,Logan Clark,State House District 7
Arizona Future Coalition,Canyon Ridge Investments,61024.87,2023-11-14,Mason Thompson,State House District 7
Keep AZ Moving Committee,Frontier Manufacturing Co.,75400.09,2021-07-23,Jacob Smith,State House District 20
Keep AZ Moving Committee,Valley Healthcare Group,96610.68,2022-05-16,Noah Thompson,US House District 2
